NAME                        READY   STATUS    RESTARTS   AGE     IP            NODE               NOMINATED NODE   READINESS GATES
a-deploy-766ffc4fc9-zvstr   1/1     Running   0          2m10s   10.244.4.5    pspd-cluster-m03   <none>           <none>
b-deploy-5b5c9d8466-h6nl2   1/1     Running   0          2m9s    10.244.4.6    pspd-cluster-m03   <none>           <none>
b-deploy-5b5c9d8466-js7jl   1/1     Running   0          38s     10.244.2.8    pspd-cluster-m02   <none>           <none>
b-deploy-5b5c9d8466-qndrh   1/1     Running   0          37s     10.244.4.7    pspd-cluster-m03   <none>           <none>
p-deploy-6679b7fdc6-bt7lr   1/1     Running   0          38s     10.244.4.9    pspd-cluster-m03   <none>           <none>
p-deploy-6679b7fdc6-cff55   1/1     Running   0          2m9s    10.244.2.7    pspd-cluster-m02   <none>           <none>
p-deploy-6679b7fdc6-hvjft   1/1     Running   0          37s     10.244.4.8    pspd-cluster-m03   <none>           <none>
p-deploy-6679b7fdc6-r88qg   1/1     Running   0          22s     10.244.2.10   pspd-cluster-m02   <none>           <none>
p-deploy-6679b7fdc6-vskgv   1/1     Running   0          22s     10.244.4.10   pspd-cluster-m03   <none>           <none>
p-deploy-6679b7fdc6-zkvx5   1/1     Running   0          23s     10.244.2.9    pspd-cluster-m02   <none>           <none>
