LAST SEEN   TYPE      REASON                         OBJECT                           MESSAGE
10m         Normal    SuccessfulCreate               replicaset/a-deploy-766ffc4fc9   Created pod: a-deploy-766ffc4fc9-zvstr
10m         Normal    Scheduled                      pod/a-deploy-766ffc4fc9-zvstr    Successfully assigned pspd/a-deploy-766ffc4fc9-zvstr to pspd-cluster-m03
10m         Normal    ScalingReplicaSet              deployment/a-deploy              Scaled up replica set a-deploy-766ffc4fc9 from 0 to 1
10m         Normal    Scheduled                      pod/p-deploy-6679b7fdc6-cff55    Successfully assigned pspd/p-deploy-6679b7fdc6-cff55 to pspd-cluster-m02
10m         Normal    SuccessfulCreate               replicaset/p-deploy-6679b7fdc6   Created pod: p-deploy-6679b7fdc6-cff55
10m         Normal    Created                        pod/a-deploy-766ffc4fc9-zvstr    Created container: a
10m         Normal    SuccessfulCreate               replicaset/b-deploy-5b5c9d8466   Created pod: b-deploy-5b5c9d8466-h6nl2
10m         Normal    ScalingReplicaSet              deployment/b-deploy              Scaled up replica set b-deploy-5b5c9d8466 from 0 to 1
10m         Normal    Pulled                         pod/a-deploy-766ffc4fc9-zvstr    Container image "a-service:local" already present on machine
10m         Normal    Created                        pod/b-deploy-5b5c9d8466-h6nl2    Created container: b
10m         Normal    Pulled                         pod/b-deploy-5b5c9d8466-h6nl2    Container image "b-service:local" already present on machine
10m         Normal    Scheduled                      pod/b-deploy-5b5c9d8466-h6nl2    Successfully assigned pspd/b-deploy-5b5c9d8466-h6nl2 to pspd-cluster-m03
10m         Normal    ScalingReplicaSet              deployment/p-deploy              Scaled up replica set p-deploy-6679b7fdc6 from 0 to 1
10m         Normal    Started                        pod/a-deploy-766ffc4fc9-zvstr    Started container a
10m         Normal    Pulled                         pod/p-deploy-6679b7fdc6-cff55    Container image "p-gateway:local" already present on machine
10m         Normal    Created                        pod/p-deploy-6679b7fdc6-cff55    Created container: p
10m         Normal    Started                        pod/p-deploy-6679b7fdc6-cff55    Started container p
10m         Normal    Started                        pod/b-deploy-5b5c9d8466-h6nl2    Started container b
10m         Normal    Sync                           ingress/p-ingress                Scheduled for sync
10m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/p-hpa    invalid metrics (2 invalid out of 2), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
10m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/b-hpa    failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
10m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/b-hpa    invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
10m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/p-hpa    failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
10m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/a-hpa    invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
10m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/p-hpa    failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
