NAME                        READY   STATUS    RESTARTS   AGE     IP            NODE       NOMINATED NODE   READINESS GATES
a-deploy-766ffc4fc9-8kvz6   1/1     Running   0          49s     10.244.0.61   minikube   <none>           <none>
a-deploy-766ffc4fc9-h5c66   1/1     Running   0          3h4m    10.244.0.7    minikube   <none>           <none>
b-deploy-5b5c9d8466-2gx6n   1/1     Running   0          9m32s   10.244.0.55   minikube   <none>           <none>
b-deploy-5b5c9d8466-5rrtp   1/1     Running   0          12m     10.244.0.50   minikube   <none>           <none>
b-deploy-5b5c9d8466-7cmxt   1/1     Running   0          9m32s   10.244.0.56   minikube   <none>           <none>
b-deploy-5b5c9d8466-8fznw   1/1     Running   0          12m     10.244.0.49   minikube   <none>           <none>
b-deploy-5b5c9d8466-zmwd8   1/1     Running   0          3h4m    10.244.0.8    minikube   <none>           <none>
p-deploy-6679b7fdc6-64b4h   1/1     Running   0          12m     10.244.0.51   minikube   <none>           <none>
p-deploy-6679b7fdc6-7l8fd   1/1     Running   0          9m16s   10.244.0.60   minikube   <none>           <none>
p-deploy-6679b7fdc6-cbjk2   1/1     Running   0          48s     10.244.0.62   minikube   <none>           <none>
p-deploy-6679b7fdc6-lgjgf   1/1     Running   0          67m     10.244.0.38   minikube   <none>           <none>
p-deploy-6679b7fdc6-lr7g7   1/1     Running   0          9m31s   10.244.0.58   minikube   <none>           <none>
p-deploy-6679b7fdc6-t6h98   1/1     Running   0          9m16s   10.244.0.59   minikube   <none>           <none>
p-deploy-6679b7fdc6-vsjtf   1/1     Running   0          9m31s   10.244.0.57   minikube   <none>           <none>
p-deploy-6679b7fdc6-xdlmf   1/1     Running   0          48s     10.244.0.63   minikube   <none>           <none>
