3m          Normal    SuccessfulCreate    replicaset/a-deploy-766ffc4fc9   Created pod: a-deploy-766ffc4fc9-8kvz6
2m59s       Normal    Started             pod/a-deploy-766ffc4fc9-8kvz6    Started container a
2m59s       Normal    Created             pod/a-deploy-766ffc4fc9-8kvz6    Created container: a
2m59s       Normal    SuccessfulRescale   horizontalpodautoscaler/p-hpa    New size: 8; reason: cpu resource utilization (percentage of request) above target
2m59s       Normal    Scheduled           pod/p-deploy-6679b7fdc6-xdlmf    Successfully assigned pspd/p-deploy-6679b7fdc6-xdlmf to minikube
2m59s       Normal    ScalingReplicaSet   deployment/p-deploy              Scaled up replica set p-deploy-6679b7fdc6 from 6 to 8
2m59s       Normal    Scheduled           pod/p-deploy-6679b7fdc6-cbjk2    Successfully assigned pspd/p-deploy-6679b7fdc6-cbjk2 to minikube
2m59s       Normal    Pulled              pod/a-deploy-766ffc4fc9-8kvz6    Container image "a-service:local" already present on machine
2m58s       Normal    Started             pod/p-deploy-6679b7fdc6-xdlmf    Started container p
2m58s       Normal    Pulled              pod/p-deploy-6679b7fdc6-cbjk2    Container image "p-gateway:local" already present on machine
2m58s       Normal    Started             pod/p-deploy-6679b7fdc6-cbjk2    Started container p
2m58s       Normal    Created             pod/p-deploy-6679b7fdc6-xdlmf    Created container: p
2m58s       Normal    Pulled              pod/p-deploy-6679b7fdc6-xdlmf    Container image "p-gateway:local" already present on machine
2m58s       Normal    Created             pod/p-deploy-6679b7fdc6-cbjk2    Created container: p
74s         Normal    Killing             pod/p-deploy-6679b7fdc6-7l8fd    Stopping container p
74s         Normal    Killing             pod/p-deploy-6679b7fdc6-vsjtf    Stopping container p
74s         Normal    SuccessfulDelete    replicaset/p-deploy-6679b7fdc6   Deleted pod: p-deploy-6679b7fdc6-vsjtf
74s         Normal    SuccessfulRescale   horizontalpodautoscaler/p-hpa    New size: 4; reason: All metrics below target
74s         Normal    Killing             pod/p-deploy-6679b7fdc6-cbjk2    Stopping container p
74s         Normal    ScalingReplicaSet   deployment/p-deploy              Scaled down replica set p-deploy-6679b7fdc6 from 8 to 4
74s         Normal    Killing             pod/p-deploy-6679b7fdc6-xdlmf    Stopping container p
31s         Warning   Unhealthy           pod/p-deploy-6679b7fdc6-lgjgf    Liveness probe failed: Get "http://10.244.0.38:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31s         Normal    Killing             pod/p-deploy-6679b7fdc6-lgjgf    Container p failed liveness probe, will be restarted
14s         Normal    Killing             pod/p-deploy-6679b7fdc6-lr7g7    Stopping container p
14s         Normal    SuccessfulRescale   horizontalpodautoscaler/p-hpa    New size: 2; reason: All metrics below target
14s         Normal    ScalingReplicaSet   deployment/p-deploy              Scaled down replica set p-deploy-6679b7fdc6 from 4 to 2
10s         Warning   Unhealthy           pod/p-deploy-6679b7fdc6-lgjgf    Readiness probe failed: Get "http://10.244.0.38:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
0s          Normal    Started             pod/p-deploy-6679b7fdc6-lgjgf    Started container p
0s          Normal    Created             pod/p-deploy-6679b7fdc6-lgjgf    Created container: p
0s          Normal    Pulled              pod/p-deploy-6679b7fdc6-lgjgf    Container image "p-gateway:local" already present on machine
